"Регион","Число абонентов фиксированного широкополосного доступа к сети Интернет на 100 человек населения"
"Российская Федерация","14,44"
"БЕЛГОРОДСКАЯ ОБЛ.","9,83"
"БРЯНСКАЯ ОБЛ.","12,46"
"ВЛАДИМИРСКАЯ ОБЛ.","12,38"
"ВОРОНЕЖСКАЯ  ОБЛ.","16,19"
"ИВАНОВСКАЯ ОБЛ.","10,5"
"КАЛУЖСКАЯ ОБЛ.","15,92"
"КОСТРОМСКАЯ ОБЛ.","16,38"
"КУРСКАЯ ОБЛ.","10,48"
"ЛИПЕЦКАЯ ОБЛ.","12,09"
"МОСКОВСКАЯ ОБЛ.","7,92"
"ОРЛОВСКАЯ ОБЛ.","11,76"
"РЯЗАНСКАЯ ОБЛ.","10,58"
"СМОЛЕНСКАЯ ОБЛ.","13,48"
"ТАМБОВСКАЯ ОБЛ.","12,36"
"ТВЕРСКАЯ ОБЛ.","10,45"
"ТУЛЬСКАЯ ОБЛ.","15,86"
"ЯРОСЛАВСКАЯ ОБЛ.","18,48"
"г.МОСКВА","24,59"
"Центральный фед.округ","15,76"
"РЕСП. КАРЕЛИЯ","23,88"
"РЕСП. КОМИ","16,5"
"АРХАНГЕЛЬСКАЯ ОБЛ.","15,57"
"ВОЛОГОДСКАЯ ОБЛ.","16,18"
"КАЛИНИНГРАДСКАЯ ОБЛ.","20,2"
"ЛЕНИНГРАДСКАЯ ОБЛ.","8,7"
"МУРМАНСКАЯ ОБЛ.","17,15"
"НОВГОРОДСКАЯ ОБЛ.","14,8"
"ПСКОВСКАЯ ОБЛ.","7,57"
"г.САНКТ-ПЕТЕРБУРГ","21,94"
"Северо-Западный фед.округ","17,52"
"РЕСП. АДЫГЕЯ","4,87"
"РЕСП. КАЛМЫКИЯ","6,15"
"КРАСНОДАРСКИЙ КРАЙ","11,43"
"АСТРАХАНСКАЯ ОБЛ.","11,35"
"ВОЛГОГРАДСКАЯ ОБЛ.","13,93"
"РОСТОВСКАЯ ОБЛ.","9,89"
"Южный фед.округ","11,1"
"РЕСП. ДАГЕСТАН","0,86"
"РЕСП.ИНГУШСКАЯ","0,63"
"КАБАРД.-БАЛКАР. РЕСП.","6,79"
"КАРАЧ.-ЧЕРКЕСС. РЕСП.","5,61"
"РЕСП.СЕВЕРНАЯ-ОСЕТИЯ","6,86"
"ЧЕЧЕНСКАЯ РЕСП.","0,12"
"СТАВРОПОЛЬСКИЙ КРАЙ","8,98"
"Северо-Кавказский фед.округ","4,33"
"РЕСП.БАШКОРТОСТАН","16,1"
"РЕСП. МАРИЙ-ЭЛ","13,92"
"РЕСП. МОРДОВИЯ","12,13"
"РЕСП. ТАТАРСТАН","21,84"
"УДМУРТСКАЯ РЕСП.","17,93"
"ЧУВАШСКАЯ РЕСП.","8,72"
"КИРОВСКАЯ ОБЛ.","16,73"
"НИЖЕГОРОДСКАЯ ОБЛ.","18,19"
"ОРЕНБУРГСКАЯ ОБЛ.","14,78"
"ПЕНЗЕНСКАЯ ОБЛ.","11,46"
"ПЕРМСКИЙ КРАЙ","10,37"
"САМАРСКАЯ ОБЛ.","18,41"
"САРАТОВСКАЯ ОБЛ.","15,43"
"УЛЬЯНОВСКАЯ ОБЛ.","16,58"
"Приволжский фед.округ","16,12"
"КУРГАНСКАЯ ОБЛ.","13,4"
"СВЕРДЛОВСКАЯ ОБЛ.","16,75"
"ТЮМЕНСКАЯ ОБЛ.","20,52"
"ХАНТЫ-МАНСИЙСКИЙ АО","16,62"
"ЯМАЛО-НЕНЕЦКИЙ АО","15,33"
"ЧЕЛЯБИНСКАЯ ОБЛ.","16,87"
"Уральский фед.округ","16,89"
"РЕСП. АЛТАЙ","4,12"
"РЕСП. БУРЯТИЯ","5,45"
"РЕСП. ТЫВА","1,39"
"РЕСП. ХАКАСИЯ","8,22"
"АЛТАЙСКИЙ КРАЙ","12,23"
"КРАСНОЯРСКИЙ КРАЙ","13,6"
"ИРКУТСКАЯ ОБЛ.","11,46"
"КЕМЕРОВСКАЯ ОБЛ.","12,65"
"НОВОСИБИРСКАЯ ОБЛ.","25,94"
"ОМСКАЯ ОБЛ.","13,97"
"ТОМСКАЯ ОБЛ.","11,68"
"ЗАБАЙКАЛЬСКИЙ КРАЙ","5,03"
"Сибирский фед.округ","13,35"
"РЕСП. САХА (ЯКУТИЯ)","9,55"
"ПРИМОРСКИЙ КРАЙ","15,86"
"ХАБАРОВСКИЙ КРАЙ","14,85"
"АМУРСКАЯ ОБЛ.","7,52"
"КАМЧАТСКИЙ КРАЙ","11,29"
"МАГАДАНСКАЯ ОБЛ.","16,65"
"САХАЛИНСКАЯ ОБЛ.","13,01"
"ЕВРЕЙСКАЯ А.О.","13,29"
"ЧУКОТСКИЙ А.О.","9,48"
"Дальневосточный фед.округ","13,03"
"РЕСПУБЛИКА КРЫМ","NA"