"ID";"Name";"Type";"Picture";"Description";"Semantics";"global_id";
"1";"Герб муниципального округа Новокосино в городе Москве";"Герб";"4b29170f-c81c-4418-9669-50bb4f419878";"В четырежды рассечённом пурпурном и серебряном поле повышенное узкое золотое противостеннозубчатое стропило, заполненное зеленью, в которой - выходящее из правого нижнего угла золотое солнце.";"Новокосино - уютный уголок столицы, примыкающий непосредственно к Московской кольцевой автомобильной дороге (МКАДу). Район активно застраивается жилыми и социальными объектами. Символика герба муниципального округа Новокосино многозначна: - золотое зубчатое стропило, как знак строительства, символизирует активную застройку муниципального округа, начатую в 1986 году, и продолжающуюся по сей день; -верхнее пурпурное поле с двумя серебряными столбами символизирует возникновение муниципального округа (ранее района) на бывших сельскохозяйственных полях (пурпур), на которых в основном выращивали картофель (столбы - аллегория грядок). Сочетание пурпура с серебром характерно для таких полей в период цветения картофеля; - нижнее зеленое после с восходящим солнцем - символизирует расположение района в восточной части Москвы. Пурпур - символ власти, славы, почета, благородства происхождения, древности. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Зеленый цвет символизирует весну и природу, здоровье, молодость и надежду. Золото - символ высшей ценности, величия, богатства, урожая.";"881376735";
"2";"Флаг муниципального округа Новокосино в городе Москве";"Флаг";"3aaf306c-3d1e-40f8-9388-838c8f3ed923";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, состоящее из двух горизонтальных полос отделенных друг от друга однократно изломанной в центре желтой полосой с прямоугольными противостоящими зубцами в обе стороны. Верхняя часть над стропилом составлена из 5-ти чередующихся вертикальных полос малинового и белого цветов. Нижняя часть под стропилом - зеленого цвета с восходящим из нижнего угла у древка желтым солнцем (все фигуры из герба муниципального округа Новокосино).";"Новокосино - уютный уголок столицы, примыкающий непосредственно к Московской кольцевой автомобильной дороге (МКАДу). Район активно застраивается жилыми и социальными объектами. Символика герба муниципального округа Новокосино многозначна: желтая ломаная полоса с выступами - аллегория зубчатого стропила, знака символизирующего активную застройку муниципального округа, начатую в 1986 году, и продолжающуюся по сей день; верхняя малиново-белая часть полотнища символизирует возникновение муниципального округа (ранее района) на бывших полях (малиновый цвет), на которых в основном выращивали картофель (белый цвет - аллегория грядок). Сочетание малинового (пурпурного и белого цветов характерно для таких полей в период цветения картофеля; - нижняя зеленая часть полотнища с восходящим солнцем - символизирует расположение района в восточной части Москвы. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения. Малиновый цвет (пурпур) - символ власти, славы, почета, благородства происхождения, древности. Зеленый цвет символизирует весну и природу, здоровье, молодость и надежду. Желтый цвет (золото) - символ высшей ценности, величия, богатства, урожая.";"881376867";
"3";"Герб муниципального округа Нагатино-Садовники в городе Москве";"Герб";"8e8a775e-bb48-4606-a4b1-769ae45efc87";"В зелёном поле на чёрной земле - золотая яблоня с таковыми же плодами.";"Зелёный цвет щита символизирует заливные луга, находившиеся в пойме Москвы-реки и зелёные насаждения местности. Чёрная земля символизирует заболоченную (чёрную) местность, на которой в начале XIV века возникло село Нагатинское. Яблоня показывает основной вид деятельности жителей Слободы Садовники, выращивавших многие фруктовые и плодово-ягодные культуры, в том числе и яблони, которые приносили большой доход жителям. Золотой цвет символизирует высшую ценность, величие, богатство. Зелёный цвет символизирует весну, здоровье, природу, молодость и надежду. Чёрный цвет символизирует благоразумие, мудрость, скромность, честность.";"881376945";
"4";"Флаг муниципального округа Нагатино-Садовники в городе Москве";"Флаг";"95d4ead4-d9e8-4de4-8d86-03dd0214d4d9";"Прямоугольное двухстороннее полотнище зелёного цвета с отношением ширины к длине 2:3, на котором изображены жёлтым и чёрным цветом фигуры герба муниципального округа Нагатино-Садовники.";"Зелёный цвет щита символизирует заливные луга, находившиеся в пойме Москвы-реки и зелёные насаждения местности. Чёрная земля символизирует заболоченную (чёрную) местность, на которой в начале XTV века возникло село Нагатинское. Яблоня показывает основной вид деятельности жителей Слободы Садовники, выращивавших многие фруктовые и плодово-ягодные культуры, в том числе и яблони, которые приносили большой доход жителям. Золотой цвет символизирует высшую ценность, величие, богатство. Зелёный цвет символизирует весну, здоровье, природу, молодость и надежду. Чёрный цвет символизирует благоразумие, мудрость, скромность, честность.";"881384742";
"5";"Герб муниципального округа Марфино в городе Москве";"Герб";"4e0b7f34-f186-40e6-a731-dbc1ade83025";"Зелёное и лазоревое поле разделено фигурной перевязью, составленной из рассечённого серебром и золотом берёзового листа, положенного в левую перевязь, между вписанными, уширенными в середине и закрученными на концах навстречу ходу солнца отрезками нити, вверху - золотым, а внизу - серебряным.";"Лист березы совместно с отрезками нитей, выложенными в виде знака интеграла, символизируют нахождение на территории муниципального образования ведущего научного учреждения в области исследования растений - Института физиологии растений им. К. А. Тимирязева. Зелёное поле символизирует леса, произраставшие в Марфино. Лазоревое поле символизирует память о прудах и речке Каменке, ныне исчезнувшей в подземной трубе. Зелёный цвет символизирует весну и природу, здоровье, молодость и надежду. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Золото - символ высшей ценности, величия, богатства.";"881396305";
"6";"Флаг муниципального округа Марфино в городе Москве";"Флаг";"928dc8c1-7f96-4786-b6ac-00c8c2a2b4ff";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, воспроизводящее композицию герба муниципального округа Марфино, выполненную зеленым, синим, белым и жёлтым цветом.";"Лист березы совместно с отрезками нитей, выложенными в виде знака интеграла, символизируют нахождение на территории муниципального образования ведущего научного учреждения в области исследования растений - Института физиологии растений им. К. А. Тимирязева. Зелёное поле символизирует леса, произраставшие в Марфино. Голубое поле символизирует память о прудах и речке Каменке, ныне исчезнувшей в подземной трубе. Зелёный цвет символизирует весну и природу, здоровье, молодость и надежду. Голубой цвет (лазурь) - символ возвышенных устремлений, искренности, преданности, возрождения. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения. Жёлтый цвет (золото) - символ высшей ценности, величия, богатства.";"881397411";
"7";"Герб муниципального округа Ломоносовский в городе Москве";"Герб";"0e3750e0-38cb-4e97-8327-0279ba20bea2";"В золотом щите - пониженный червленый пояс и поверх всего - зелёный дуб с корнями и четырьмя червлёными желудями (два на стволе и два на краях нижних ветвей); крона дуба показана выше пояса.";"Символика герба Ломоносовского муниципального округа Москвы многозначна. Дуб - символ мудрости, мощи, выносливости, долголетия, независимости, благородства и славы. Зелёный дуб символизирует дубравы, которые в старину произрастали на территории муниципального округа. По преданию, ещё при Иване Калите в этих местах рубили дубы для постройки кремлёвских стен вместо старых сосновых. Желуди символизируют плодородие, процветание, духовную энергию, произрастающую из зерна истину. Дуб с желудями считается символом зрелости, полной силы. Красный пояс символизирует главную магистраль муниципального округа - Ленинский проспект, проходящий «красной нитью» по территории округа и соединяющий центр столицы с Московской кольцевой автодорогой (МКАД). Применённые в гербе цвета символизируют: золото - символ высшей ценности, величия, богатства, стабильности, солнечного света; червлень - символ мужества, труда, жизнеутверждающей силы, красоты и праздника; зеленый цвет символизирует весну, здоровье, природу, надежду";"881397550";
"8";"Флаг муниципального округа Ломоносовский в городе Москве";"Флаг";"5ed397ea-2dbc-49da-b8d9-86076a30aa7e";"Прямоугольное двухстороннее полотнище желтого цвета с отношением ширины к длине 2:3, воспроизводящее фигуры герба Ломоносовского муниципальною округа Москвы, выполненные зелёным и красным цветом.";"Символика флага Ломоносовского муниципального округа Москвы многозначна. Дуб - символ мудрости, мощи, выносливости, долголетия, независимости, благородства и славы. Зеленый дуб символизирует дубравы, которые в старину произрастали на территории муниципального округа. По преданию, ещё при Иване Калите в этих местах рубили дубы для постройки кремлёвских стен вместо старых сосновых. Желуди символизируют плодородие, процветание, духовную энергию, произрастающую из зерна истину. Дуб с желудями считается символом зрелости, полной силы. Красный пояс символизирует главную магистраль муниципального округа - Ленинский проспект, проходящий «красной нитью» по территории округа и соединяющий центр столицы с Московской кольцевой автодорогой (МКАД). Применённые во флаге цвета символизируют: жёлтый (золото) - символ высшей ценности, величия, богатства, стабильности, солнечного света; красный (червлень) - символ мужества, труда, жизнеутверждающей силы, красоты и праздника; зелёный цвет символизирует весну, здоровье, природу, надежду.";"881401300";
"9";"Герб муниципального округа Косино-Ухтомский в городе Москве";"Герб";"2dbd4351-7747-4313-b687-828f27e77c76";"В лазоревом и серебряном поле, пересеченном в бездну, во главе - три вытянутых в пояс серебряных овала (один подле другого), а в сердце щита в серебре - семь лазоревых капель, изогнутых сообразно делению.";"Косино - одно из древнейших сел Подмосковья. Здесь сохранились несколько озер ледникового периода - Белое, Святое, Черное (аллегорически представленные в гербе - серебряными овалами). На их берегах археологи обнаружили древние стоянки человека и курганы. Впервые письменно Косино упоминается в начале XV века, когда село находилось во владении серпуховских князей. В XVII веке Косино входило в состав царских вотчин; именно здесь, у восточного берега Белого озера, были построены верфь и пристань. Улиткообразное деление в виде уходящей в бездну волны - аллегорически символизирует связь времен и значимость этих озер в истории Москвы и всего Российского государства. В 1689-1691 годах в Косино пребывал юный царь Петр I, который плавал по озеру на построенных здесь ботиках, давших толчок к созданию в дальнейшем Российского флота. Число семь считается символом гармонии, удачи. Неделя включает семь дней, в радуге - семь основных цветов, в мире - семь чудес света, музыкальная грамота основана на семи нотах и т.д. В русских поговорках число семь наиболее цитируемое. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Серебро - символ чистоты, открытости, божественной мудрости, примирения.";"881402107";
"10";"Флаг муниципального округа Косино-Ухтомский в городе Москве";"Флаг";"87a4c66e-88bc-4d62-ac8c-86897e879a05";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, несущее изображение фигур герба муниципального округа Косино-Ухтомский, выполненное голубым и белым цветом.";"Косино - одно из древнейших сел Подмосковья. Здесь сохранились несколько озер ледникового периода - Белое, Святое, Черное (аллегорически представленные в гербе - серебряными овалами). На их берегах археологи обнаружили древние стоянки человека и курганы. Впервые письменно Косино упоминается в начале XV века, когда село находилось во владении серпуховских князей. В XVII веке Косино входило в состав царских вотчин; именно здесь, у восточного берега Белого озера, были построены верфь и пристань. Улиткообразное деление полотнища белым и голубым цветом в виде уходящей в бездну волны - аллегорически символизирует связь времен и значимость этих озер в истории Москвы и всего Российского государства. В 1689-1691 годах в Косино пребывал юный царь Петр I, который плавал по озеру на построенных здесь ботиках, давших толчок к созданию в дальнейшем Российского флота. Число семь считается символом гармонии, удачи. Неделя включает семь дней, в радуге - семь основных цветов, в мире - семь чудес света, музыкальная грамота основана на семи нотах и т.д. В русских поговорках число семь наиболее цитируемое. Голубой цвет (лазурь) - символ возвышенных устремлений, искренности, преданности, возрождения. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения.";"881402721";
"11";"Герб муниципального округа Ивановское в городе Москве";"Герб";"9e2e3a7f-50a6-4847-a6fe-337bf5ecdab1";"В лазоревом поле - серебряный голубь, летящий вправо с распростёртыми крыльями, в золотом отвлечённом сиянии (лучи попеременно короткие и длинные), сопровождённый в оконечности двумя золотыми противообращенно-косвенными дубовыми ветвями.";"Серебряный голубь, летящий в окружении золотого сияния является геральдическим олицетворением Святого Духа, символом находящейся на территории муниципального округа храма Рождества Иоанна Предтечи, существующего с XVI века. Предполагают, что и название бывшего села произошло от имени храма. Две золотые дубовые ветви символизируют расположенную на юго-востоке Терлецкого парка реликтовую дубраву, возраст отдельных деревьев которой - более 300 лет. Название дубравы (и парка) связано с последним владельцем этих земель отставным полковником русской армии А.И. Торлецким. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Золото - символ высшей ценности, величия, богатства.";"881405014";
"12";"Флаг муниципального округа Ивановское в городе Москве";"Флаг";"78a2afd0-bff4-42ae-965e-1e912b1724f5";"Прямоугольное двухстороннее полотнище голубого цвета с отношением ширины к длине 2:3, на котором изображены фигуры герба муниципального округа Ивановское: летящий к древку в желтом сиянии белый голубь, сопровожденный внизу двумя жёлтыми дубовыми ветками.";"Белый голубь, летящий в окружении желтого (золотого) сияния является геральдическим олицетворением Святого Духа, символом находящейся на территории муниципального округа храма Рождества Иоанна Предтечи, существующего с XVI века. Предполагают, что и название бывшего села произошло от имени храма. Две дубовые ветви символизируют расположенную на юго-востоке Терлецкого парка реликтовую дубраву, возраст отдельных деревьев которой - более 300 лет. Название дубравы (и парка) связано с последним владельцем этих земель отставным полковником русской армии А.И. Торлецким. Голубой цвет (лазурь) - символ возвышенных устремлений, искренности, преданности, возрождения. Желтый цвет (золото) - символ высшей ценности, величия, богатства. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения";"881405603";
"13";"Герб муниципального округа Донской в городе Москве";"Герб";"8dcb0310-9caa-4b51-9938-4bf01a2c08a6";"В лазоревом поле поверх серебряной тонкой косвенной решетки - пурпурный плат с узкой серебряной каймой в виде квадрата с вогнутыми сторонами, обремененный червленым храмом в три яруса, окаймленным серебром, с серебряными окнами, членениями и аркадной галереей в первом ярусе с серебряной же кровлей, имеющим на такой же крыше три малых главы в ряд, за средней из которых - большая глава; все с серебряными куполами и крестами - большая с восьмиконечным, а малые - с полумесяцем в основании.";"Изображение храма символизирует расположенный на территории муниципального округа Донской монастырь - один из старейших монастырей столицы, в честь которого эта местность и получила свое название. Расположение храма на плате (покрове - символе защиты) показывает квадратную планировку монастыря, в центре которого находится Новый собор. Пурпурный цвет плата символизирует основание монастыря царем Федором Иоанновичем в конце XVI века. Плат напоминает об исторической «Даниловской мануфактуре», где с начала XIX века проводились работы по набивке тканей и платков. Серебряная решетка символизирует ажурную конструкцию расположенной на территории муниципального образования Шуховской телебашни - одного из выдающихся архитектурно-инженерных памятников Москвы XX века. Голубой цвет щита символизирует Москву-реку, протекающую по территории муниципального образования. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Пурпур - символ власти, славы, почета, благородства происхождения, древности. Червлень (красный цвет) - символ труда, мужества, жизнеутверждающей силы, красоты и праздника.";"881408400";
"14";"Флаг муниципального округа Донской в городе Москве";"Флаг";"58cd5bf2-0e49-4b35-9c1d-4e7cc16387d6";"Прямоугольное двухстороннее полотнище синего цвета с отношением ширины к длине 2:3, на котором малиновым, белым, серым и красным цветом воспроизведены фигуры герба муниципального округа Донской.";"Изображение храма символизирует расположенный на территории муниципального округа Донской монастырь - один из старейших монастырей столицы, в честь которого эта местность и получила свое название. Расположение храма на плате (покрове - символе зашиты) показывает квадратную планировку монастыря, в центре которого находится Новый собор. Малиновый цвет плата символизирует основание монастыря царем Федором Иоанновичем в конце XVI века. Плат напоминает об исторической «Даниловской мануфактуре», где с начала XIX века проводились работы по набивке тканей и платков. Белая решетка символизирует ажурную конструкцию расположенной на территории муниципального образования Шуховской телебашни - одного из выдающихся архитектурно-инженерных памятников Москвы XX века. Синий цвет щита символизирует Москву-реку, протекающую по территории муниципального образования. Синий цвет (лазурь) - символ возвышенных устремлений, искренности, преданности, возрождения. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения. Малиновый цвет (пурпур) - символ власти, славы, почета, благородства происхождения, древности. Красный цвет (червлень) - символ труда, мужества, жизнеутверждающей силы, красоты и праздника.";"881409315";
"15";"Герб муниципального округа Даниловский в городе Москве";"Герб";"c9d29713-231d-435b-b74c-93505f52c22a";"В лазоревом поле - серебряный гонт, сверху фигурный в виде трёх выпуклых выступов, средний из которых больше и завершен наподобие церковной главки; гонт обременён стоящим князем с золотым нимбом, в пурпурных, украшенных золотом, древней княжеской шапке, плаще и кафтане с поясом и в пурпурных сапогах, с золотыми бармами, положившим правую руку на грудь и держащим в левой руке серебряный меч в ножнах, рукоятью вверх.";"Фигура князя символизирует память об основателе рода московских государей - Данииле Александровиче, сыне Александра Невского, на княжение которого началась возвышение Москвы. В гербе округа серебряный столб с вершиной в виде куполов храма в голубом поле символизирует основанный им, согласно преданию, Даниловский монастырь, один из основных исторических памятников на территории района, духовную святыню, давшую название району. Князь Даниил успешно воевал и руководил войсками в целях политического давления на соперника, при этом избегая прямых столкновений. Но прежде всего он был известен миролюбием и миротворческими настроениями, что в гербе округа отражено мечом, убранным в ножны. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Пурпур - символ власти, славы, почёта, благородства происхождения, древности. Золото - символ высшей ценности, величия, богатства, урожая";"881409618";
"16";"Флаг муниципального округа Даниловский в городе Москве";"Флаг";"9e4c9aa0-7d71-44ca-b16d-db5107277ef4";"Прямоугольное двухстороннее полотнище голубого цвета с отношением ширины к длине 2:3, в центре которого воспроизведены фигуры герба муниципального округа Даниловский, выполненные белым, малиновым, жёлтым и оранжевым цветом.";"Фигура князя символизирует намять об основателе рода московских государей - Данииле Александровиче, сыне Александра Невского, в княжение которого началась возвышение Москвы. Серебряный столб с вершиной в виде куполов храма в голубом поле символизирует основанный им, согласно преданию, Даниловский монастырь один из основных исторических памятников на территории района, духовную святыню, давшую название району. Князь Даниил небезуспешно воевал и небезуспешно руководил войсками в целях политического давления на соперника, при этом избегая столкновений. Но прежде всего он был известен миролюбием и миротворческими настроениями, что в гербе округа отражено мечом, убранным в ножны. Голубой цвет (лазурь) - символ возвышенных устремлений, искренности, преданности, возрождения. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения. Малиновый цвет (пурпур) - символ власти, славы, почета, благородства происхождения, древности. Желтый цвет (золото) - символ высшей ценности, величия, богатства, урожая.";"881409820";
"17";"Герб муниципального округа Гольяново в городе Москве";"Герб";"8d8b3955-21c2-452c-a17c-857f1f8808be";"В лазоревом поле под включенной зеленой главой - два серебряных гольяна, один над другим, сопровожденные поверх границы главы княжеской шапкой.";"История нынешнего муниципального округа начинается в 1662 году, когда в селе Гольяново была построена церковь святых Зосимы и Савватия, Соловецких чудотворцев. По дозорным книгам Патриаршего казенного приказа 1680 года, село Гольяново - приселок государева дворцового села Покровского Васильцова уезда Радонежской десятины. Первые документальные сведения о Гольяново восходят к 60-м годам XVII века. Гольяново стояло на древней Хомутовской дороге, которая вела из Москвы к великокняжеским бортям (пасекам) на реке Клязьме. Селом первоначально ведал Приказ Большого Дворца, а затем Императорская вотчинная контора. С 1765 года приселок с окрестными деревнями перешел в ведение Главной дворцовой канцелярии. Гольяново не считалось доходным, и в начале XIX века оно оказалось в руках частных владельцев. В 1805 год)- приселок достался роду дворян Сергеевых, а с 1811 года Гольяново значится за надворным советником князем Иваном Николаевичем Трубецким, который владел и окрестными деревнями - Абрамцево, Лукино. Суково и бывшим дворцовым приселком Никольским. К середине XIX века село с деревнями перешло от Ивана Николаевича Трубецкого его жене Наталье Сергеевне. Вскоре Гольяново с окружающими деревнями отошло ее сыну Петру Николаевичу, известному сенатору. Княжеская шапка в гербе муниципального округа Гольяново аллегорически напоминает о том, что в далеком прошлом территория округа находилась во владении князей Трубецких. Серебряные рыбы указывают на одну из версий о происхождении названия села, которая гласит, что гольяны (рыбки из семейства карповых) когда-то в изобилии водились в местных водоемах. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Зеленый цвет символизирует парк «Лосиный остров», находящийся на территории муниципального округа Гольяново, а также символизирует весну и природу, здоровье, молодость и надежду. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Пурпур (в изображении княжеской шапки) - символ власти, славы, почёта, благородства происхождения, древности.";"881461342";
"18";"Флаг муниципального округа Гольяново в городе Москве";"Флаг";"8c339135-f952-4bb1-9f3c-6dc16976dbd8";"Прямоугольное двухстороннее полотнище голубого цвета с отношением ширины к длине 2:3, несущее вдоль верхнего края полосу зеленого цвета. В середине полотнища изображены фигуры из герба муниципального округа Гольяново: два плывущих друг над другом белых гольяна, а над ними княжеская шапка поверх границы частей полотнища.";"История нынешнего муниципального округа начинается в 1662 году, когда в селе была построена церковь святых Зосимы и Саввагия, Соловецких чудотворцев. По дозорным книгам Патриаршего казенного приказа 1680 года, село Гольяново - присёлок государева дворцового села Покровского Васильцова уезда Радонежской десятины. Царем Алексеем Михайловичем в Гольяново был построен первый свечной завод. Первые документальные сведения о Гольяново восходят к 60-м годам 17 века. Гольяново стояло на древней Хомутовской дороге, которая вела из Москвы к великокняжеским бортям (пасекам) на реке Клязьме. Селом первоначально ведал Приказ Большого Дворца, а затем Императорская вотчинная контора. С 1765 года приселок с окрестными деревнями перешел в ведение Главной дворцовой канцелярии. Гольяново не считалось доходным, и в начале 19 века оно оказалось в руках частных владельцев. В 1805 году приселок достался роду Сергеевых, с 1811 года Гольяново значится за надворным советником князем Иваном Николаевичем Трубецким, который владел и окрестными деревнями - Абрамцево, Лукино, Суково и бывшим дворцовым присёлком Никольским. К середине 19 века село с деревнями перешло от Ивана Николаевича Трубецкого его жене Наталье Сергеевне. Вскоре Гольяново с окружающими деревнями отошло ее сыну Петру Николаевичу, известному сенатору. Княжеская шапка в гербе округа аллегорически напоминает о том, что в далеком прошлом территория округа находилась во владении князей Трубецких. Рыбы указывают на одну из версий о происхождении названия села, которая гласит, что гольяны (рыбки из семейства карповых) когда-то в изобилии водились в местных водоемах. Голубой цвет (лазурь) - символ возвышенных устремлений, искренности, преданности, возрождения. Зелёный цвет символизирует весну и природу, здоровье, молодость и надежду. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения. Малиновый цвет (пурпур в изображении княжеской шапки) - символ власти, славы, почёта, благородства происхождения, древности";"881461464";
"19";"Герб муниципального округа Чертаново Северное в городе Москве";"Герб";"bbfedf68-52b1-49f5-8251-59c6f58111c9";"В лазоревом поле - серебряный восстающий конь, держащий передними ногами малый золотой щиток, обременённый садовой лилией с зелёным стеблем, листьями и серебряным цветком.";"Белый конь указывает на главную современную достопримечательность муниципального образования: конноспортивный комплекс «Битца». Золотой щиток с лилией символизирует историю местности и аллегорически указывает на две церкви: одну - XVII века, во имя Рождества Богородицы (не сохранившуюся); другую - в честь Державной иконы Божией Матери, построенную недавно. В конце XVIII - начале XIX века территория принадлежала императорской семье. Золотое поле щитка – символ власти. Золото – символ высшей ценности, величия, богатства. Лазоревый (голубой) цвет щита традиционно в русской культуре ассоциируется с образом Пресвятой Богородицы. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Серебро - символ чистоты, открытости, божественной мудрости, примирения. Зеленый цвет символизирует весну, здоровье, природу молодость и надежду.";"881461485";
"20";"Флаг муниципального округа Чертаново Северное в городе Москве";"Флаг";"c6471a3a-c4d2-4517-92fd-200f3fe7c0ec";"Прямоугольное двухстороннее полотнище голубого цвета с отношением ширины к длине 2:3, воспроизводящее в середине полотнища фигуры из герба муниципального округа Чертаново Северное, выполненные белым, желтым и зеленым цветом.";"Белый конь указывает на главную современную достопримечательность муниципального образования: конноспортивный комплекс «Битца». Щиток с лилией символизирует историю местности и аллегорически указывает на две церкви: одну - XVII века, во имя Рождества Богородицы (не сохранившуюся); другую - в честь Державной иконы Божией Матери, построенную недавно. В конце XVIII - начале XIX века территория принадлежала императорской семье. Поле щитка жёлтого (золотого) цвета - символ власти. Жёлтый цвет (золото) - символ высшей ценности, величия, богатства. Голубой (лазоревый) цвет флага традиционно в русской культуре ассоциируется с образом Пресвятой Богородицы. Лазурь - символ возвышенных устремлений, искренности, преданности, возрождения. Белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения. Зеленый цвет символизирует природу, весну, здоровье, молодость и надежду.";"881461493";
"21";"Герб муниципального округа Таганский";"Герб";"a10b2bf5-60d2-4fb8-b2b1-b3daba5fb5db";"В поле, понижено пересечённом и вверху рассечённым зеленью и лазурью, а внизу золотом, поверх пересечения - два серебряных бердыша накрест, сопровождённые во главе золотым трилистным крестом на коротком древке, а внизу червлёным глиняным горшком на серебряном тагане.";"Территория современного муниципального округа Таганский имеет многовековую богатую историю аллегорически отраженную в гербе. Два перекрещенных бердыша символизируют множество сторожевых постов и застав древней Москвы, располагавшихся, в том числе, и на территории современного округа. Золотой крест символизирует многие храмы и церкви, расположенные на территории округа и в первую очередь Спасский собор Андронникова монастыря, одного из древнейших памятников архитектуры Москвы. Таган вместе со стоящим на нём глинянном кувшином символизирует Таганскую слободу. Ремесленники этой слободы изготовляли таганы - треножники для котлов, которыми пользовались в походах стрельцы. Эта слобода дала название современному округу. Зелёная часть герба символизирует парки и скверы, находящиеся на территории муниципального округа Таганский. Лазоревая часть полотнища - символ реки Яузы, протекающей по округу. Золотая часть поля герба, дамасцированная серебрянным плетением (подобная рогоже) - символическое отражение Рогожской Заставы, входящей в состав округа. Символика цветов и металлов усиливает символику герба: - зелёный цвет символизирует весну и природу, здоровье, молодость и надежду; - лазурь - символ возвышенных устремлений, искренности, преданности, возрождения; - золото - символ высшей ценности, величия, богатства; - серебро - символ чистоты, открытости, божественной мудрости, примирения; - червлень (красный цвет) - символ труда, мужества, жизнеутверждающей силы, красоты и праздника";"881461528";
